"Sr no,",Nature,Machine Name,Parameter Name,Unit
1,CUMULATIVE,BALL_MILL_A,BALL_MILL_A_KWH,kWh
2,PURE,BALL_MILL_A,BALL_MILL_A_ACTIVE_POWER,kW
3,CUMULATIVE,BALL_MILL_B,BALL_MILL_B_KWH,kWh
4,PURE,BALL_MILL_B,BALL_MILL_B_ACTIVE_POWER,kW
5,CUMULATIVE,BALL_MILL_C,BALL_MILL_C_KWH,kWh
6,PURE,BALL_MILL_C,BALL_MILL_C_ACTIVE_POWER,kW
7,CUMULATIVE,BALL_MILL_D,BALL_MILL_D_KWH,kWh
8,PURE,BALL_MILL_D,BALL_MILL_D_ACTIVE_POWER,kW
9,CUMULATIVE,DIGESTION,MCC_18A_1_KWH,kWh
10,PURE,DIGESTION,MCC_18A_1_ACTIVE_POWER,kW
11,CUMULATIVE,DIGESTION,MCC_18D_3_KWH,kWh
12,PURE,DIGESTION,MCC_18D_3_ACTIVE_POWER,kW
13,CUMULATIVE,DIGESTION,MCC_4A_1_KWH,kWh
14,PURE,DIGESTION,MCC_4A_1_ACTIVE_POWER,kW
15,CUMULATIVE,DIGESTION,MCC_4B_3_KWH,kWh
16,PURE,DIGESTION,MCC_4B_3_ACTIVE_POWER,kW
17,CUMULATIVE,DIGESTION,MCC_4D_4_KWH,kWh
18,PURE,DIGESTION,MCC_4D_4_ACTIVE_POWER,kW
19,CUMULATIVE,DIGESTION,MCC_4E_5_KWH,kWh
20,PURE,DIGESTION,MCC_4E_5_ACTIVE_POWER,kW
21,CUMULATIVE,DIGESTION,MCC_4E_6_KWH,kWh
22,PURE,DIGESTION,MCC_4E_6_ACTIVE_POWER,kW
23,PURE,DIGESTION,IBSH_OUTLET_TEMPERATURE,C
24,PURE,BALL_MILL_A,BALL_MILL_A,TPH
25,PURE,BALL_MILL_B,BALL_MILL_B,TPH
26,PURE,BALL_MILL_C,BALL_MILL_C,TPH
27,PURE,BALL_MILL_D,BALL_MILL_D,TPH
28,PURE,DIGESTION,SLURRY_FLOW,m3/hr
29,PURE,DIGESTION,PDS1_LEVEL,meter
30,PURE,DIGESTION,PDS_2_LEVEL,meter
31,PURE,DIGESTION,PDS_3_LEVEL,meter
32,PURE,DIGESTION,PDS_4_LEVEL,meter
33,PURE,DIGESTION,MIX_LIQUOR_FLOW,m3/hr
34,PURE,DIGESTION,GLAND_WATER_FLOW,m3/hr
35,PURE,DIGESTION,CLEAR_CONDENSATE_FLOW,m3/hr
36,PURE,DIGESTION,STEAM_FLOW_TO_LSH_AND_DIGESTER,TPH
37,PURE,DIGESTION,LSH_OUTLET_TEMPERATURE,C
38,PURE,DIGESTION,LSH_INLET_TEMPERATURE,C
